#atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|aexp_min|aexp_max|aexp_mutability|bexp_min|bexp_max|bexp_mutability|comment|reference
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV||||||||||
p3_s|X|-6|-1|Bounded|||p3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp3 phosphor shell|
s1|S|0|0|ACM|s1_b|s1_s|s1_z|s1_z|0.6|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.105|3||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp sulfur|
s1_s|X|-6|-1|Bounded|||s1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp sulfur shell|
s2|S|0|0|ACM|s2_b|s2_s|s2_z|s2_z|0.6|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.105|3||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp2 sulfur|
s2_s|X|-6|-1|Bounded|||s2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp2 sulfur shell|
s3|S|0|0|ACM|s3_b|s3_s|s3_z|s3_z|0.6|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.105|3||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp3 sulfur|
s3_s|X|-6|-1|Bounded|||s3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp3 sulfur shell|
cl|Cl|0|0|ACM|cl_b|cl_s|cl_z|cl_z|0.4|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.102|3||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|chlorine|
cl_s|X|-6|-1|Bounded|||cl_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|2|5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|chlorine shell|
br|Br|0|0|ACM|br_b|br_s|br_z|br_z|0.6|6|Bounded|7|20|Bounded|0.3|0.7|Bounded|1|10|Bounded|0.12|4||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|bromine|
br_s|X|-6|-1|Bounded|||br_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|3|7|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|bromine shell|
