atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|comment|reference|||
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV|||||||
I-|I|0|3|ACM||I-_s|I-_z|I-_z|0.890773|0.890773|Fixed|15.1043|15.1043|Fixed|0.496162|0.496162|Fixed|1|6|Bounded|0.206|5||||2|12|Bounded|4|24|Bounded|2|5|Bounded|iodide|ion|Walz2018a||
I-_s|X|-4|-2|Bounded|||I-_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|5|10|Bounded|2|12|Bounded|||||||iodide|ion|shell||
F-|F|0|3|ACM||F-_s|F-_z|F-_z|0.0331175|0.0331175|Fixed|14.9423|14.9423|Fixed|0.390345|0.390345|Fixed|1|6|Bounded|0.119|2||||2|12|Bounded|4|24|Bounded|2|5|Bounded|fluoride|ion|Walz2018a||
F-_s|X|-4|-2|Bounded|||F-_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|2|12|Bounded|||||||fluoride|ion|shell||
Rb+|Rb|0|3|ACM||Rb+_s|Rb+_z|Rb+_z|0.388274|0.388274|Fixed|16.8329|16.8329|Fixed|0.447763|0.447763|Fixed|1|6|Bounded|0.166|5||||2|12|Bounded|4|24|Bounded|2|5|Bounded|rubidium|ion|Walz2018a||
Rb+_s|X|-2|-1|Bounded|||Rb+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|2|12|Bounded|||||||rubidium|ion|shell||
Li+|Li|0|3|ACM||Li+_s|Li+_z|Li+_z|0.0378535|0.0378535|Fixed|16.6965|16.6965|Fixed|0.304261|0.304261|Fixed|1|6|Bounded|0.09|2||||2|12|Bounded|4|24|Bounded|2|5|Bounded|lithium|ion|Walz2018a||
Li+_s|X|-2|-1|Bounded|||Li+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.02|1|Bounded|2|12|Bounded|||||||lithium|ion|shell||
Br-|Br|0|3|ACM||Br-_s|Br-_z|Br-_z|0.452035|0.452035|Fixed|15.1012|15.1012|Fixed|0.472946|0.472946|Fixed|1|6|Bounded|0.182|4||||2|12|Bounded|4|24|Bounded|2|5|Bounded|bromide|ion|Walz2018a||
Br-_s|X|-4|-2|Bounded|||Br-_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|4|8|Bounded|2|12|Bounded|||||||bromide|ion|shell||
Cs+|Cs|0|3|ACM||Cs+_s|Cs+_z|Cs+_z|0.342742|0.342742|Fixed|18.6293|18.6293|Fixed|0.475155|0.475155|Fixed|1|6|Bounded|0.181|6||||2|12|Bounded|4|24|Bounded|2|5|Bounded|cesium|ion|Walz2018a||
Cs+_s|X|-2|-1|Bounded|||Cs+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|4|Bounded|2|12|Bounded|||||||cesium|ion|shell||
K+|K|0|3|ACM||K+_s|K+_z|K+_z|0.310514|0.310514|Fixed|16.8963|16.8963|Fixed|0.417016|0.417016|Fixed|1|6|Bounded|0.152|4||||2|12|Bounded|6|24|Bounded|2|5|Bounded|potassium|ion|Walz2018a||
K+_s|X|-2|-1|Bounded|||K+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2|Bounded|2|12|Bounded|||||||potassium|ion|shell||
He|He|0|0|ACM||he_s|he_z|he_z|0.03|3|Bounded|10|25|Bounded|0.15|0.4|Bounded|1|25|Bounded|0.031|1||||6|20|Bounded|6|24|Bounded|2|5|Bounded|he||||
he_s|X|-1.2|-0.4|Bounded|||he_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.208|0.208|Fixed|6|20|Bounded|||||||he|shell|https://cccbdb.nist.gov/pollistx.asp||
Ne|Ne|0|0|ACM||ne_s|ne_z|ne_z|0.03|3|Bounded|10|25|Bounded|0.15|0.4|Bounded|1|25|Bounded|0.031|1||||6|20|Bounded|6|24|Bounded|2|5|Bounded|ne||||
ne_s|X|-1.2|-0.4|Bounded|||ne_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.381|0.381|Fixed|6|20|Bounded|||||||ne|shell|https://cccbdb.nist.gov/pollistx.asp||
Ar|Ar|0|0|ACM||ar_s|ar_z|ar_z|0.03|3|Bounded|10|25|Bounded|0.15|0.5|Bounded|1|25|Bounded|0.031|1||||6|20|Bounded|6|24|Bounded|2|5|Bounded|ar||||
ar_s|X|-1.2|-0.4|Bounded|||ar_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1.664|1.664|Fixed|6|20|Bounded|||||||ar|shell|https://cccbdb.nist.gov/pollistx.asp||
Kr|Kr|0|0|ACM||kr_s|kr_z|kr_z|0.03|3|Bounded|10|25|Bounded|0.15|0.6|Bounded|1|25|Bounded|0.031|1||||6|20|Bounded|6|24|Bounded|2|5|Bounded|kr||||
kr_s|X|-1.2|-0.4|Bounded|||kr_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|2.498|2.498|Fixed|6|20|Bounded|||||||kr|shell|https://cccbdb.nist.gov/pollistx.asp||
Xe|Xe|0|0|ACM||xe_s|xe_z|xe_z|0.03|3|Bounded|10|25|Bounded|0.15|0.7|Bounded|1|25|Bounded|0.031|1||||6|20|Bounded|6|24|Bounded|2|5|Bounded|xe||||
xe_s|X|-1.2|-0.4|Bounded|||xe_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|4.005|4.005|Fixed|6|20|Bounded|||||||xe|shell|https://cccbdb.nist.gov/pollistx.asp||
